sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0 (rad/s),mpc_max_omega1 (rad/s),mpc_max_omega2 (rad/s),mpc_max_omega3 (rad/s),mpc_max_omega4 (rad/s),mpc_max_omega5 (rad/s),mpc_max_omega6 (rad/s),mpc_max_omega7 (rad/s),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi (rad),nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta (rad),nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi (rad),nn_mean_psi,nn_std_psi,nn_max_omega0 (rad/s),nn_max_omega1 (rad/s),nn_max_omega2 (rad/s),nn_max_omega3 (rad/s),nn_max_omega4 (rad/s),nn_max_omega5 (rad/s),nn_max_omega6 (rad/s),nn_max_omega7 (rad/s),radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
54,circle_xy,False,13.75,0.02,60,10,True,687,0.3380861009963358,18.70491290004429,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.1994199385054197,0.11718706497068658,0.00022866093694697419,0.08572484431509764,-0.6200565810217954,0.32023327334363083,-0.01885644616594198,0.15246161492008187,-0.08710424363439244,0.05366864544646689,-0.007156273660855666,0.020748776388160216,252.82936931390805,250.9941816502944,252.2675499899487,251.01016883971144,252.790419121167,251.76661984317164,253.46681741539751,251.79457107077852,True,1.2617188999793143,0.36560538921430447,-0.25492552869636087,0.12526570812801133,0.002243016467743998,0.08753689931617654,-0.6105325824123577,0.21837700258893405,-0.02164556588690952,0.15008468703884623,-0.10181571935620316,0.12154017243831834,0.05836359294538507,0.058329423822496645,250.5688357602166,250.02129434930734,252.76106331959994,249.1422407842026,251.52447215714682,251.6773929081638,253.13076224340713,250.9162369478708,5.0,13.8,0.15593534337088608,2.903457250473259,2.465960364591903,3.2892175706072075,2.565282213505377,2.8852190789305845,2.5450275481983993,2.550367630852863,2.3529392140307124
55,circle_xy,False,14.0,0.02,60,10,True,699,0.3267373309921074,19.24868660006905,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.11331151403107123,0.19195913090133518,-0.0003667329282572242,0.08266885839630925,-0.6107700740034054,0.3163765539619108,-0.018045568510618133,0.148471297826106,-0.05084710072963888,0.08230865675219842,0.006587362340264102,0.019460950471769854,250.43702006813155,251.42168621646098,249.93196413969758,251.41294831376982,250.4625506355084,252.30360111433188,251.07185552692061,252.24635391712405,True,1.3781683999404777,0.33611308868802076,-0.15863436585013357,0.16834972935921474,-0.0005099109417332087,0.08955671436742983,-0.6035249631655082,0.2224843798446001,-0.015434140006564028,0.14610597441842804,-0.05133739708040804,0.12849483966402117,0.07002892834457751,0.039715250681818796,247.20301285317657,250.03532579493844,249.50544441572518,248.8607103448538,247.67390728085243,250.85338459906293,250.59339408598598,250.0384902574569,5.0,14.0,0.1654852243768784,2.6969967682062075,2.5736049456374785,2.998524836253837,2.4185062151012686,2.4909784660728604,2.521276645797143,2.37968637445428,2.5176102158501212
56,circle_xy,False,14.25,0.02,60,10,True,712,0.31589739694970453,19.395980299974326,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.1849111260120019,0.10955586974635605,0.0003858649387840101,0.07976459116649079,-0.6017855943438386,0.31300703622706944,-0.017267310411651773,0.14458630570151884,-0.0778699887292445,0.048225465229062965,-0.006066680375905394,0.018254387576571888,250.8912758383767,249.18094961443649,250.31257632770206,249.19164293592888,250.85145001293003,249.97171680432314,251.54249902428458,250.01305879958903,True,1.358799400019052,0.34112669035236903,-0.23985683286025059,0.12286445679122374,0.0021331663798665095,0.08190284708860526,-0.5996494212161163,0.2122688932827627,-0.019862556993184965,0.14263006478984408,-0.0897778866335062,0.12121096996283492,0.061458858508464026,0.05490673513274488,249.22007542413175,248.7525462176445,251.3789138954942,247.79382703038456,250.04262559356556,250.4210326351323,251.7276581170426,249.48666690471526,5.0,14.2,0.1494212078328312,2.743801764966491,2.2923034977297894,3.183002526189921,2.3923916919721173,2.7491458656012364,2.426320614902898,2.414059409404357,2.1957742474468547
57,circle_xy,False,14.5,0.02,60,10,True,724,0.3058498875155051,19.925344299896096,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.10601825904832606,0.17824674891063402,-0.0004934138030791942,0.07702897094612426,-0.30927797508291804,0.5930784830604102,0.016550422377096887,0.1409346222063981,-0.07376109304076205,0.045785485130447875,-0.005603708108269232,0.017164726826823788,249.94152475442687,249.12603612636286,250.63820701918647,249.17309011032677,249.9810091500178,248.32735684564784,249.3955281099788,248.33619150200525,True,1.1497284999495605,0.3086828559453758,-0.12315082827235398,0.16997126804768453,0.00022207166633736192,0.07966799378165532,-0.2423499686912893,0.625914864954251,0.016609725289275273,0.1446569293967605,-0.013823329866820848,0.12056586428824212,0.06044267646783004,0.03599970806995847,248.47890473985782,248.7309801486655,250.58427136516667,247.8875957570806,248.8960501214868,247.96184582896146,248.3494391760566,248.24614580247226,5.0,14.5,0.13399468417117466,2.097456114742557,1.5859938363182287,2.6543177124255646,1.549827627465867,2.130512986958924,1.463745712756121,1.9236411552585304,1.3991262913215525
58,circle_xy,False,14.75,0.02,60,10,True,737,0.29623070342218094,20.291555100113328,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.10259376029209115,0.17193904150962014,-0.000496023500179892,0.07442279228770908,-0.5846353187237009,0.3060550911366722,-0.01586232725084331,0.13737597955571051,-0.043512068198841014,0.06995034585969333,0.005177118136471824,0.016139600049083918,247.88191456525703,248.66813162545472,247.36433176489538,248.67779868605103,247.92089374732947,249.5861062209492,248.5530351147745,249.53551484925282,True,1.3418834999829414,0.3053957170476962,-0.12713175386796105,0.15218758048696268,-0.0009021788200568691,0.07776060385187322,-0.5878662566165666,0.21173671251827028,-0.013575731682212856,0.13599054844264458,-0.04444178351912464,0.12812455256423574,0.07164641315568666,0.03885020440662204,245.3751138183074,248.19368507951333,248.12461954603322,247.05939543896267,245.67691611800709,249.39436526598934,249.089150462564,248.04005726749295,5.0,14.8,0.15938815623537606,2.321135518036999,2.1017337899421253,2.681990729167221,2.030415117251092,2.2356138318841925,2.1271325460111488,1.9740042415407362,2.0317405412157328
59,circle_xy,False,15.0,0.02,60,10,True,749,0.2872689902901526,20.960331700181996,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.16595672572812112,0.09924286616459624,0.0005807864023109962,0.07196182810907924,-0.3025167064224387,0.5764478708167442,0.015226831573931917,0.13402754961518815,-0.041378452363604004,0.06642223473957236,0.004798127422223787,0.015213128702162411,247.13872551801856,248.75279590796987,247.77754578067683,248.7047558750651,247.10096628981307,247.8252229709478,246.57555553009163,247.84005398041793,True,1.3870992000665865,0.2992258796446046,-0.17476222494426552,0.1008513329642587,0.00039957792836902686,0.07444878077029725,-0.2182369426733985,0.611520681234438,0.014174502124290745,0.1369174876040488,-0.03190521337784642,0.175488476650131,0.07194186638823344,0.04155363769260621,246.41635443230652,251.70570684426235,249.1224150344577,249.82005975379695,245.7167124495355,249.70670733391532,248.1521957426353,248.2932398407697,5.0,15.0,0.1436165352943298,2.0734975807228473,1.7329833137156596,2.500770921375792,1.8205661986419397,2.096611267193439,1.9089875002529224,1.7629597582508463,1.500998969146367
60,circle_xy,False,15.25,0.02,60,10,True,762,0.2786635267672211,21.727674299829232,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.09598729537097087,0.16028329641101166,-0.0005721464808503258,0.06961249327556315,-0.2993729024095061,0.5685014118010661,0.014614889324316666,0.13075621911986013,-0.0631372726744587,0.03938444090123706,-0.004447213112369617,0.014337997618847803,247.4290301456052,246.7963649034127,248.13807406044901,246.84204647033172,247.4652062899735,245.9617680197164,246.86446568543278,245.9674514338681,True,1.3221142000038526,0.27979050212565565,-0.11226771680955407,0.15306635094546742,0.00020543247349297586,0.07270487012314052,-0.24578815529567308,0.6007035359238878,0.014720668322975233,0.13399205161005914,-0.003799213683891557,0.12759179145574356,0.06391904123831399,0.03594462843356811,246.2628919408275,246.3717054742692,248.0692787504142,245.41456897843392,246.21243783208564,245.89765970395717,245.67095130192178,246.0572969364422,5.0,15.3,0.13024082190331635,2.0994207171562755,1.5911600026322674,2.6298218307937806,1.5237460896811956,2.18059047893417,1.4687511104651947,1.9040336665692492,1.4186683478826032
61,circle_xy,False,15.5,0.02,60,10,True,774,0.27056240458076924,21.594917499882285,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.15488048360915455,0.0928889566751243,0.000639933721596387,0.0673886773690751,-0.2959272797363329,0.5607286516393272,0.014047200533835392,0.12766007470776655,-0.03747073124622979,0.060093006489994896,0.004137143744854645,0.013545368393447102,245.64774245792037,247.16770858941092,246.297615043169,247.12527945953792,245.6136494245849,246.22564500700227,245.0745066573788,246.2496930201462,True,1.3480228998378152,0.2816055842509279,-0.16329339473122512,0.09334807346412514,0.00039694931084508856,0.070041245315287,-0.20805600991690917,0.5951432039596846,0.013380439922061142,0.12988887802269417,-0.028093897173178048,0.16759749662961604,0.07238613630139375,0.03890166912314738,245.03398150035423,250.22405683239853,247.62530743126698,248.20590681836404,244.32753493137602,248.4233170899712,246.64096017733715,246.60971747888783,5.0,15.5,0.14077184204144974,2.0361323760670973,1.680652029676461,2.4946835791978956,1.7507411270885456,2.1011696339116503,1.8436489591793244,1.7623788415367074,1.4330255046646454
62,circle_xy,False,15.75,0.02,60,10,True,787,0.26273176329966413,22.21330720003607,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.14974121074542635,0.09064444666499946,0.0006241817974724756,0.06526151253717732,-0.29289982306723195,0.5531371438032238,0.013499908513772037,0.12462590602115692,-0.03565661395274279,0.0572619173589282,0.0038497172013001123,0.012794291980362244,244.93502798662692,246.41164003752257,245.58956010766354,246.37237344114192,244.90348517267935,245.47040762901233,244.35822737135334,245.4926609099779,True,1.3553244000431732,0.2735060622046616,-0.15814544893903576,0.08944431159363514,0.0003149926979087929,0.06803875053141331,-0.2069217308852544,0.5872191734405198,0.013166327643617462,0.1264427470848364,-0.02634247184480786,0.16391828692271423,0.07261953135342876,0.0377476729773192,244.3686753499239,249.5185302509407,246.89201436084494,247.41450152115303,243.63352962907115,247.82312110611386,245.8962127889153,245.8052875612961,5.0,15.7,0.13941566817727416,2.0163344791522504,1.6561814698727695,2.491281072207082,1.7259987962345447,2.1070749813605625,1.8074159160407763,1.762884079475865,1.4038731400374251
63,circle_xy,False,16.0,0.02,60,10,True,799,0.25541442617057264,24.489384300009988,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.1448571738611928,0.08860128233221701,0.0006786535005859173,0.0632446654237154,-0.2896564923074725,0.5457554981401209,0.012991021147196889,0.12177064376834972,-0.03395962641960462,0.0546141216469841,0.0035923090711730056,0.012112106226292019,244.2493300465887,245.6851476197111,244.90806567383004,245.64887895876228,244.22026234684233,244.74505392841158,243.66949235649395,244.76556434271083,True,1.4087261999520706,0.2658532374906429,-0.1532897263090603,0.08563724279996357,0.0003387747410826014,0.06608188294262815,-0.2056151501594022,0.5794879946442032,0.012919655323034678,0.1233160887054739,-0.024691455565328944,0.16032239955477148,0.07280870265317088,0.036671134782057815,243.72755015731195,248.7879343762398,246.16674646378672,246.6581823901883,242.95420472953322,247.1719195090792,245.16731960345683,245.11061831685547,5.0,16.0,0.13804304810801657,1.9950780055597053,1.6258165474215331,2.483625825781523,1.69945040188575,2.111074671441491,1.7668031277432157,1.7589793609610842,1.376685838380121
64,circle_xy,False,16.25,0.02,60,10,True,812,0.24840146967282126,23.166950000013458,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.0864549593842982,0.14021157952923746,-0.0006540810982610837,0.0613165511013964,-0.28602615023426725,0.5385759485884067,0.012514697440696472,0.11893820855554098,-0.052137155393519624,0.032370653777222265,-0.0033503096093015607,0.011461413922061337,244.46097304505446,244.0302019458239,245.1804614090892,244.0637628869411,244.50017704220954,243.1671752862225,243.88466647339564,243.15694262998346,True,1.8877492999454262,0.24788475778260768,-0.10703615566369361,0.1359355623831072,0.00017971272979008012,0.06489149767216616,-0.24746707095152334,0.5698115395366061,0.01246516093965422,0.12178953873494108,-0.002201081502215525,0.13123933883913813,0.06694058094074853,0.034946055707133716,243.35290323195474,243.95037980355409,244.90008525987767,242.64897640406917,243.1813257567844,243.36175932540274,242.78803719731306,242.98341336658137,5.0,16.2,0.12400439874188776,1.9933565587731725,1.438248918951959,2.5427355227568045,1.3768871119371184,2.1448752398439397,1.4250434458334262,1.7668250327894701,1.272116597808598
65,circle_xy,False,16.5,0.02,60,10,True,824,0.2418788197328116,22.775911800126778,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.08425968541544977,0.13578888364444228,-0.0006928159796458784,0.059487792007730224,-0.5315909559760256,0.2816543239987505,-0.012100096888675808,0.11622851732249335,-0.03088101107425944,0.049817185813572515,0.0031309097678343663,0.010866502277721308,242.92707001202476,243.375597828663,242.36701391246334,243.39280136530948,242.95144522902882,244.31233908539454,243.61708403949402,244.28158726865632,True,1.6409913001625682,0.2521087232468084,-0.10167246587970787,0.11551139098959433,-0.0011932712789081818,0.06143449878382266,-0.553240451774636,0.1901206614722897,-0.01047695583414809,0.1161030110812336,-0.03137735323703872,0.12722080345792644,0.07520030390683248,0.03501258753919359,241.60922640384655,243.43498260489727,244.34977655269785,243.14665313987322,241.56875365956944,245.70048066006854,244.89105139160733,243.84609847918676,5.0,16.5,0.1469685931951326,1.8978701914627678,1.4680804274083905,2.4116292695210166,1.4870829792455071,2.0871280845395583,1.6587458423489159,1.6206632966058063,1.4306242337774564
66,circle_xy,False,16.75,0.02,60,10,True,837,0.23563940741649833,22.975984899981995,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.08211396732646624,0.13157498907652695,-0.0006629358343372674,0.05773333860258809,-0.5247932594444775,0.2785795704048095,-0.011726419944823666,0.11355001493437197,-0.02948312305636807,0.04763311570912381,0.0029222812189795906,0.010297398676921064,242.3100178962056,242.7241660335791,241.74630676165748,242.7398116666404,242.33218183257262,243.6581676763971,243.00011552720562,243.6299622375008,True,1.6892160999486805,0.24604007896426655,-0.10157257976928462,0.11519773202216492,-0.0011542937802706242,0.05987337459774633,-0.5480039595210806,0.1877966547589465,-0.010154533003417674,0.11349649417793074,-0.029623220535453063,0.12624792259312545,0.07554273089287811,0.03449558584928402,241.07977172555533,242.81454154569224,243.8105339260959,242.5829623470283,241.00959749569944,245.17379479224388,244.29608466464586,243.2485943566697,5.0,16.8,0.14513060975476114,1.8492739247436154,1.4124642882759146,2.3979873429926846,1.431132640031401,2.074111670943844,1.6264742225239877,1.5900709797147292,1.3812674818128299
