sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
21,circle_xy,False,21.0,0.02,60,10,True,1049,0.11742648960613507,27.771486503537744,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.09595816988974261,0.11663300756355971,-0.0009701406773017369,0.06402876352102813,-0.19487900105674597,0.13660898465085491,-0.0034804986967741296,0.07169130879582478,-0.008867318283999469,0.018514189725589096,0.0037150139503634755,0.0037415083541854307,True,4.851101400214247,0.10599613782678359,-0.10172858396113775,0.14006062198807,-0.0010923998332189556,0.06575262153485811,-0.21125612903811133,0.11746979092907515,-0.003629484456368575,0.07224631409567496,-0.021196279269372998,0.0,-0.010934800043410103,0.004804146525323459,1,7.0,0.03861415478077877,0.6897795938338357,0.5262911274009774,0.7370363292344375,0.7277350837682756,0.7113334862371481,0.7180330035917263,0.7099945904063785,0.7522526580226202
22,circle_xy,False,21.0,0.02,60,10,True,1049,0.25365492978694926,30.11743450188078,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.19348312799045422,0.22983213951198347,-0.002156589772932503,0.1264454515043414,-0.38784887996025674,0.2591687490374292,-0.006992565618831433,0.14180430031804656,-0.03811452184371296,0.026557859602222424,0.007593432284722247,0.007290870503179054,True,5.707792600034736,0.25163112037977753,-0.18222401757623666,0.24375516350133455,-0.0028993462434334645,0.12657302043412672,-0.3866313951680242,0.23570632786322446,-0.006162775571996523,0.13979930435352628,-0.04403602354631526,0.0333322832661868,0.004931769170307981,0.011856965226662184,2,7.0,0.06535496655236495,3.792962751419689,3.8516398616141165,3.7060461785033874,3.912099549570023,3.6327191553970315,3.838732206307983,3.9103467918844017,3.6478877331959465
23,circle_xy,False,21.0,0.02,60,10,True,1049,0.3884689240321929,28.322019799845293,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2934237182587876,0.3642557367792967,-0.00281427784212298,0.18829522928676679,-0.5733132755424439,0.34333997330361166,-0.010829117922504251,0.20526735685765357,-0.09178583680082274,0.0935046818994354,0.019909783556169958,0.020187236890839174,True,8.524724499206059,0.4249111278218114,-0.28006265840465777,0.37797234224590454,-0.005041066412256981,0.18847785275399256,-0.5583244092493289,0.34786726618621044,-0.009188392117025893,0.20366024266572189,-0.09060508911660833,0.06489224757489863,0.012799419094613407,0.020454212953110517,3,7.0,0.10240006745661996,2.8181214276547766,2.941103215760381,2.9643559088206897,3.050355648312474,2.9643649422246297,3.006219924358302,2.8098179358314535,2.9487309897664424
24,circle_xy,False,21.0,0.02,60,10,True,1049,0.5452285048828871,24.259874400449917,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.380406652954619,0.5136065148070146,-0.004596309130324969,0.24831422061653732,-0.7484407947679268,0.400314540449365,-0.013633906770557331,0.2627111188333017,-0.17928866274851252,0.0953942467781034,0.030775541895361434,0.03452161784858419,True,6.168333698180504,0.5982087506901047,-0.39068500881795,0.5206012824309983,-0.0077259914053810315,0.2490009898960941,-0.7169444544813378,0.4476247527527427,-0.012907588834029524,0.26339787821779576,-0.1672680990648603,0.08740262953937424,0.02757570720095677,0.03375078924046219,4,7.0,0.13708228135247655,4.08122073705715,3.869208819201675,4.033949444558927,3.676969910418523,4.253594766274524,3.939742478075604,3.9899176104430594,3.8373461855869366
25,circle_xy,False,12.5,0.02,60,10,True,624,0.45806938457228724,15.747431998490356,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3154141278654465,0.33514756372991217,0.01717957224443818,0.16134895394081694,-0.7278531491230085,0.2976862257159736,-0.005749951517414479,0.2083822820015869,-0.11106194813485275,0.06799849431878745,0.00718489847369923,0.023234456175959144,True,2.978572099818848,0.49899321256499996,-0.2595986502109135,0.35745804584940655,0.015203987266552841,0.16073450981112453,-0.7050420276115601,0.2823803514677006,-0.0026755640226937146,0.2082586213424505,-0.1062744292997766,0.05717446931270276,0.0012104095334186154,0.031047679123929115,5,10.0,0.1414574863417447,5.047221641851037,5.082397297243211,5.003337774309928,5.1438658874368315,5.144609105261592,4.981005508632489,4.915721429595871,5.124628557718262
26,circle_xy,False,12.5,0.02,60,10,True,624,0.5545557724809688,19.687797900405712,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3591709001360526,0.41803782071909334,0.020375805187923146,0.19299963601309392,-0.861713934627658,0.3260545406897481,-0.007172951628342753,0.24599835072061768,-0.1751710126991895,0.06915981824341844,0.008500324599846397,0.03198453599075114,True,3.388079099706374,0.6220922573932853,-0.3061074927419753,0.4420128011260936,0.015377654241708387,0.19251615485131535,-0.8260052927724701,0.34955203604946283,-0.0034408905056333198,0.2462767804321573,-0.16259831704380154,0.0864691546451862,0.005913993189128111,0.046769328154363084,6,10.0,0.18773801444176247,3.826569775097071,4.180130497451894,4.051498680882455,4.141232643284998,4.050309470838543,3.9327314222501464,4.083669205369179,3.9577194893556316
27,circle_xy,False,12.5,0.02,60,10,True,624,0.6631657722394517,15.517892199917696,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4013526275294685,0.5354113065070724,0.022998134678093685,0.22460551468978104,-0.9884594771078243,0.40697220515200727,-0.007103644028500019,0.2836035309573209,-0.2751407671378689,0.04603998894057046,0.004985730819589417,0.0447409363129526,True,3.021446600672789,0.7497435181818923,-0.3473587215819463,0.5394087723997262,0.016517076484852167,0.2228974693274796,-0.9432704259593911,0.4060229627495718,-0.004158397420136265,0.28324405138307485,-0.24848890211966976,0.11672794489980526,0.016034718048532973,0.06351568638273551,7,10.0,0.23932714351878817,4.657413129025208,5.128199912222011,4.632942504869828,4.9972137097859175,4.739911914255194,4.721018822168124,4.9926004342900905,4.646852452130704
28,circle_xy,False,12.5,0.02,60,10,True,624,0.800932388358085,16.583775100298226,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.44968460787104064,0.6749517520309728,0.027626142057024253,0.25817950471652895,-1.0993476512207596,0.5193636500041824,-0.007220376861379952,0.3205934772516681,-0.41252459687773396,0.058692817485412795,0.00317408298646763,0.0650490485498686,True,3.126404998707585,0.8889182210180852,-0.38014955524973326,0.6650355332699579,0.019086919498031686,0.2532122432956385,-1.0544163222472354,0.47021926462362035,-0.006133170852790147,0.31928737907043714,-0.37497590294150485,0.1401743770745196,0.03196447624637348,0.08253069537429793,8,10.0,0.32837925658565736,7.956904686487218,7.951460296726373,7.4528363122500245,8.095543881068583,7.6967589687167655,7.5701996900845625,7.97516432959789,7.654624907363394
29,circle_xy,False,12.5,0.02,60,10,True,624,1.0426594824190727,18.826631599105895,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5092908572156823,0.8691959764560077,0.042201851093932874,0.2999338041017484,-1.1992281528784572,0.8083546346417927,-0.006798301709989454,0.37301757580233574,-0.6274086284144214,0.2028453984565917,0.008714082538672334,0.125222327568875,True,3.414357398985885,1.0577120198242305,-0.4056719404182556,0.8353025963069317,0.025754056982930932,0.28455844124915447,-1.1551205784922727,0.49417719493794526,-0.007690258581146707,0.353641515908901,-0.5666188195032047,0.17027917186154706,0.05320434327581346,0.10915724724720142,9,10.0,0.5441857608833593,10.616245486198423,10.692929312894588,10.205362681907985,10.845686428402022,10.461278090638357,10.621444302787424,10.2521508518039,11.02086281616883
30,circle_xy,False,13.75,0.02,60,10,True,687,0.40904237467290955,18.797066200058907,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2982803870548323,0.2700375784735571,0.014231925030783316,0.13524415178668592,-0.6782732244032058,0.2691420093903683,-0.0035419293096265654,0.18166558388713713,-0.08393617467931017,0.03415176430283839,0.0035648852491501127,0.01563780250393481,True,3.5627457996597514,0.43364685371568257,-0.24369145196211553,0.30126261233866053,0.013500157112409455,0.13494689751048433,-0.6589781566988613,0.2379288416425614,-0.0008271816527154887,0.17981677417145853,-0.08192218977309179,0.0598100517415549,0.0007597915629893367,0.02977992966977716,5,11.0,0.14865599619661882,5.443879229572201,5.531460907176212,5.287733806211488,5.566911215094273,5.513963926023026,5.402607573740331,5.258638165045404,5.514114851891569
