sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi,radius (m),period (s)
11,circle_xy,False,10.0,0.02,60,10,True,499,1.2829443507521958,13.446032198145986,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6733321205970223,1.0728343110978258,-0.03116157648586615,0.4688300145334997,-0.9602708845310877,0.6467690269841054,-0.006068238028447933,0.42109807541482597,-0.5873167518548178,0.26905509730603866,0.07208489462697097,0.1503648061355123,True,3.0305424007819965,1.387491211075799,-0.7035884328408011,1.0538750328310325,-0.04080766001728975,0.4445535133549459,-0.771129635371494,0.7391969005554208,0.0018042182801865678,0.4009764468302363,-0.44000239965305343,0.2981665701973227,0.07582522166218995,0.12784094234910326,5.0,5.5
12,circle_xy,False,10.0,0.02,60,10,True,499,1.0679563216755603,14.449555599596351,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5890064496978129,0.9306578419536761,-0.01741348642575983,0.3965370426562822,-0.9552586789610212,0.5419380393283662,0.0198337994893297,0.3970908370522806,-0.48285317491345364,0.1873293820032414,0.04120364462632688,0.11078266845204648,True,3.545401700306684,1.164608730394614,-0.569421752757835,0.9244115809855631,-0.02620756062352987,0.37987402960796945,-0.7866372563348747,0.6166703944038376,0.022049760450052767,0.3812671396692241,-0.3973320283971879,0.16729891106613115,0.04709912431024142,0.1011481776408637,5.0,6.0
13,circle_xy,False,10.0,0.02,60,10,True,499,0.9014084880528868,14.92117140069604,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4927312165577979,0.7983552214663777,0.005665956663122387,0.33554123465194247,-0.9341279857283631,0.48250688281699916,0.02504397122401437,0.37481444752741183,-0.3937608916646187,0.1303254606220958,0.030752297524254155,0.08456188096668595,True,3.3013579001417384,1.001329978079891,-0.47249801012838816,0.8134952140334852,0.0008496259016256076,0.3257551404772027,-0.7919986836715885,0.5644003775539885,0.027605976675081665,0.3582911810511793,-0.3588011666606459,0.1309820294243503,0.03212656591053477,0.08556832882737023,5.0,6.5
14,circle_xy,False,10.0,0.02,60,10,True,499,0.8084884133879283,16.13933940010611,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4038310850208184,0.684557785753165,0.024522419649610713,0.2990154442208573,-0.9092496112363169,0.4604982658841409,0.012720605862797149,0.3396557809266545,-0.32034944638201623,0.11630766000957844,0.030895224656781083,0.0687367031402325,True,2.981218299944885,0.8806830635442545,-0.3984127279147776,0.7169914503806639,0.018902374177928664,0.2914175797008548,-0.7905546666706436,0.5383667517093771,0.016152817258675865,0.32815741029698986,-0.3219489296943693,0.11417761712542775,0.023984700019847566,0.07303380052984969,5.0,7.0
15,circle_xy,False,10.0,0.02,60,10,True,499,0.7235153508683447,14.951498198555782,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.40531383626919176,0.5935065296286935,0.029416542799832426,0.2700598734815776,-0.8798306668490711,0.4102932708122278,-0.0020912082853629384,0.3094268550438851,-0.2640322108315089,0.10957900268572057,0.023540862552458408,0.057374944793805005,True,2.6360510997474194,0.7818753052035983,-0.35648726226385374,0.6321467081316654,0.02595262352558286,0.2630578972699835,-0.7822432598125808,0.4966644960816169,-0.0003221192178207417,0.30161749147899336,-0.28602153403031416,0.10190702339982081,0.01993880997112391,0.06510006866119072,5.0,7.5
16,circle_xy,False,10.0,0.02,60,10,True,499,0.6327898657828631,12.023728999425657,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3406119206911932,0.522809129420423,0.027052114171868608,0.24071358500938758,-0.8468945125228253,0.3879943301302582,-0.012165357599009248,0.2858214788915034,-0.2163070268496995,0.08220433340850591,0.01616328500698465,0.044582701767323825,True,4.329967700992711,0.7024039879457697,-0.30928849397700847,0.557566474015383,0.023667490202455874,0.23525925913160184,-0.7681476774561949,0.4537832308874413,-0.013146249608350914,0.2796318109133968,-0.2511409630679028,0.09427312525700053,0.017392777933520648,0.059457617349505186,5.0,8.0
17,circle_xy,False,10.0,0.02,60,10,True,499,0.5790495439093962,14.5370664014481,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2832677685089868,0.46447462205524703,0.020223261274949174,0.21144377819985644,-0.8161806937200273,0.36161195595702283,-0.02121880154931524,0.2678247714952891,-0.18087546808026192,0.07071417155244389,0.01070795880821308,0.03654887060393117,True,2.233532499172725,0.6378537704154811,-0.2807154462699097,0.493903746634815,0.016263719438679068,0.20848740125786375,-0.7540194731555873,0.41401151719103946,-0.02399406192440405,0.2594391124723609,-0.2197521940082472,0.08728922710037773,0.015364360292983577,0.05439187284178386,5.0,8.5
18,circle_xy,False,10.0,0.02,60,10,True,499,0.5391837529409785,15.154634501435794,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.25957079388101745,0.41473694206295997,0.01182575873251551,0.18753790807644977,-0.7878051495835815,0.33884311679271595,-0.026877470397703936,0.2515048453214844,-0.15296974144083475,0.07055847129872762,0.008612632491196603,0.03194731130981899,True,2.7189422980882227,0.5821282715337777,-0.2552155912813067,0.4396690671756119,0.008858743717767084,0.18542582604070026,-0.7405781048383289,0.37944551873944415,-0.027692774862696126,0.24412168565260395,-0.1920184577334238,0.08203057465460245,0.015807739761596815,0.04946982733378497,5.0,9.0
19,circle_xy,False,10.0,0.02,60,10,True,499,0.5092096580332623,12.266712199896574,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2367447366573436,0.37092233584626755,0.003864803833060023,0.16845895847847814,-0.7581361841920784,0.3222503122022904,-0.028215949265659596,0.23501782910465424,-0.1300551893248603,0.09696603485567394,0.010695127634531492,0.032684737847046695,True,2.503796699573286,0.5375003989720634,-0.231958740666126,0.3936678788003099,0.001445346279744534,0.16605994620518683,-0.7264887117484626,0.3475934151730207,-0.026895963517153235,0.2316274047847274,-0.1678434962979499,0.07827232415985948,0.015403632338191142,0.04655940983190935,5.0,9.5
20,circle_xy,False,10.0,0.02,60,10,True,499,0.4791177387334395,15.368435299489647,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2092692568080061,0.33514756372991217,-0.004723835836798902,0.1519304863830324,-0.7278531491230085,0.2976862257159736,-0.025543475198375475,0.22117783057091187,-0.11106194813485275,0.06799849431878745,0.007215966687492559,0.026053819199572843,True,2.343086598208174,0.5030760098998689,-0.21148336827880063,0.3534163424485577,-0.006222503595790549,0.15027232627511583,-0.7133256069580172,0.3169735311017971,-0.023518718798115644,0.21970053880147272,-0.147507905896049,0.07684899681533527,0.014126012788040822,0.043859962584408746,5.0,10.0
