sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi
11,circle_xy,False,12.0,0.02,60,10,True,599,1.1095700255552623,17.53670800011605,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5627116409261776,0.8765230494231891,-0.0026091712590944,0.417937007983165,-0.6390979368519423,0.6800425326252304,-0.0196912410280341,0.3915142855480431,-0.2653173931420094,0.3419899280837695,0.1564299188269574,0.08401543145664,True,3.266944798873737,1.211501748363852,-0.6561941633351082,0.8736184254332696,-0.0323767876258312,0.4318636803112214,-0.5881420899464413,0.6165745138564049,-0.0081169726877869,0.3510366230456906,-0.1929450573929924,0.3571494178903285,0.1100866848120225,0.107163373342329
12,circle_xy,False,12.0,0.02,60,10,True,599,1.6532512234584822,16.142431899323128,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.8507746954519673,1.2456876091728075,-0.0133871049015791,0.5275155452369201,-0.7769444725450463,0.8653899012985213,-0.0201655490663611,0.461256457958316,-0.5173584844856609,0.5573488260940693,0.2277037058823473,0.163846976458813,True,3.583893798640929,1.7844706761418865,-0.8279897752261588,1.1959926099085143,-0.02705295956928,0.5374760280645382,-0.7192752469866008,0.8510630896375242,-0.0087733308033273,0.4118934167362622,-0.3291321150694182,0.6180317783475607,0.1845148257241587,0.1575576111451675
13,circle_xy,False,15.0,0.02,60,10,True,749,0.1968929376978908,20.61669450183399,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.1741850474657836,0.2016991967989457,-0.0020212705121017,0.1171610773515118,-0.2274782248932832,0.2210740634952138,-0.0059964637826633,0.1240221873572164,-0.0184305048983892,0.0221799032413971,0.0092273448265649,0.0063499223786625,True,3.630686302203685,0.2412929426365006,-0.195444723800847,0.2177107505559254,-0.0034831644826287,0.1199296565657527,-0.2015699193754487,0.2094359077310784,-0.0054996463387949,0.1161556000040826,-0.0292104876998877,0.0099546828291185,-4.1772163020671695e-05,0.0067221212730998
14,circle_xy,False,15.0,0.02,60,10,True,749,0.4272060291560416,20.091839998262003,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3329124828595667,0.4200301545903258,-0.0030203983407972,0.2262608137461983,-0.4490888819763294,0.3934356197359128,-0.0121288430372647,0.2323241018789252,-0.0789380920546709,0.0839958393527794,0.0383977954136824,0.0229169352138914,True,4.940530501538888,0.5054392128492051,-0.3325488325048669,0.4146315863177272,-0.0076581625259572,0.2262774566089723,-0.3835694321650723,0.3468331263108935,-0.0116664984786321,0.2176656688682987,-0.0782137299627972,0.0668245775125349,0.0224678586707396,0.0230607570847156
15,circle_xy,False,15.0,0.02,60,10,True,749,0.7249560144488795,20.69784620008432,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4399161376168193,0.6413686518818484,-0.0029147044354389,0.3213871647702134,-0.6542057945347162,0.5244422813016746,-0.019548245269569,0.3235691272882982,-0.1953348862386492,0.2093794074437737,0.0764691940324885,0.0506735755502314,True,3.841261299094185,0.8230833029224411,-0.4953965015390102,0.6497487698824139,-0.0151674016714381,0.3258412852768741,-0.5330697146945981,0.4760117895393762,-0.012413585508426,0.3059021506311131,-0.1694361928498776,0.1619863455158164,0.0436041684524033,0.0548083639010906
16,circle_xy,False,15.0,0.02,60,10,True,749,1.075101568153999,20.057783101452515,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6202654848831688,0.9286989648948484,-0.0069176430893487,0.4220367268330407,-0.8263771222599208,0.6201984580540381,-0.0219452602220311,0.3843379299274144,-0.3893148042928551,0.2439431061172507,0.1121186717104941,0.0937141610662626,True,3.8495337986387312,1.1828669983101965,-0.6843368210294821,0.914947686376906,-0.0214348115384063,0.419569790011048,-0.6574014167006578,0.6471845399945134,-0.0090345170895348,0.3689583035468913,-0.3023172776591813,0.3210225951534084,0.0803106316232457,0.1028763836423789
17,circle_xy,False,18.0,0.02,60,10,True,899,0.1455858445147312,21.124631400918588,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.1260609315726713,0.1510618824494254,-0.0014237208308474,0.0848278408493692,-0.2124644704558816,0.1735038184418453,-0.0046658472294795,0.0926398983730269,-0.0126345383472848,0.0137008558240517,0.0061899411376392,0.0047117370106044,True,4.240612200926989,0.1753661571498797,-0.1332762968217961,0.1685264817211636,-0.0023493054808713,0.0871106933477297,-0.1946112011995056,0.1637504920145203,-0.0047305100139172,0.0896586741585832,-0.0226601669666038,0.0218841483380085,0.0002294412544605,0.0096450710904791
18,circle_xy,False,18.0,0.02,60,10,True,899,0.3151990919009043,21.65821759973187,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.2524010184661857,0.3099149573764295,-0.0025170732714543,0.1667278292362115,-0.4213666323431965,0.3202745063027436,-0.009699778508246,0.1803977888049505,-0.0547756493316437,0.0558509148592205,0.0171448550833465,0.0128025112796901,True,4.334319701069035,0.352341392634846,-0.2428681096461375,0.315916151741527,-0.0049612495612775,0.1677653647895357,-0.3798985744465254,0.2755287829587551,-0.0094204706585407,0.1706859634234602,-0.0643716770376531,0.045300241527841,0.0100167522842201,0.0162632297983661
19,circle_xy,False,18.0,0.02,60,10,True,899,0.5068058588114024,22.874596799141727,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3645434699609426,0.4738426180641409,-0.0038633499510355,0.2458256239168184,-0.619983363276043,0.4183401729384445,-0.014479260011141,0.2558702559602587,-0.1332490555987092,0.0988976444524732,0.0371911397902388,0.030960125098359,True,5.8407885988708586,0.5762984691906217,-0.3665157206730323,0.4833406527909425,-0.00812776654403,0.244214117717007,-0.5386639469194776,0.3984808708203508,-0.014100708213052,0.2499693370084966,-0.1333333016974276,0.1010445774804948,0.0242837639578538,0.0337742322380724
20,circle_xy,False,18.0,0.02,60,10,True,899,0.7263219061765276,24.83384709968232,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4367066679437654,0.6824566248028219,-0.0057601420933006,0.3159588838009977,-0.7998715474392419,0.4833881427897403,-0.0196301044048187,0.3272729014297123,-0.2643070131776737,0.1549542631227315,0.0572217813594019,0.0536314272408683,True,5.127686899271794,0.8214893993146501,-0.4892821900354134,0.6922588224958651,-0.0120791634108381,0.3132363233720003,-0.6790714155775679,0.5153445056980203,-0.0176395362385699,0.3192549545597664,-0.2504869167354245,0.1511659309053055,0.0417626864725291,0.0588626639831028
